"","x"
"753176",4.51112771389334
"754637",3.64998732014429
"575515",3.56161157466382
"585599",3.49169171013352
"100892379",3.38187837354152
"589674",3.20697138958778
"753728",3.18754617837832
"575392",3.18546639550214
"587606",3.17790580519878
"590444",2.83909126938797
"581334",2.83154427792452
"591814",2.81866238627244
"578253",2.79412698305038
"115918811",2.77021750073989
"577495",2.60925938029875
"579887",2.55177085019316
"592456",2.52411543476194
"581228",2.50461376207987
"445331",2.48723507670186
"582904",2.43444718810121
"756364",2.3972818581986
"752320",2.38369566169083
"115921777",2.35995088278732
"586901",2.35627888295718
"581274",2.33542478337106
"373240",2.32584135184323
"579414",2.28142720242784
"100891648",2.24023688601357
"115919866",2.22430266193347
"115922781",2.2230943661758
"587391",2.2030114069323
"586415",2.20123016887235
"587886",2.17309591224496
"752983",2.16586070872191
"581537",2.16254238424706
"588536",2.15949357841549
"373284",2.15030768690849
"587119",2.14241478429269
"587837",2.13003702517393
"586089",2.11840624548872
"763441",2.10149967434688
"580821",2.09139333740519
"753609",2.06767853925004
"585016",2.06368550779578
"594693",2.05852737464688
"115928321",2.04110374827063
"105444985",2.03820387250637
"579751",1.99929593006376
"592228",1.97984480014402
"115922629",1.9742374600445
"576973",1.96687432688824
"764373",1.96354471256348
"577611",1.96179130935838
"753064",1.95672979672147
"753561",1.93405750173837
"100890398",1.92703540735902
"588913",1.92391720540684
"115927498",1.92218436857521
"576306",1.91680247466682
"591648",1.91644462517888
"755543",1.90344756181086
"577656",1.89603761955144
"763453",1.89344393199195
"578055",1.89293460447894
"578737",1.8879474470821
"575225",1.88501158617361
"579905",1.88284795207377
"582310",1.88016400872611
"580672",1.87743052937728
"577098",1.87590857777197
"575757",1.87449976621558
"763780",1.86912720107735
"586459",1.85837272959374
"115928302",1.85746644909991
"100892227",1.85336280908375
"593840",1.83880518696052
"577286",1.83327412962041
"752277",1.82854891459203
"587821",1.82444114752185
"582647",1.82353462296592
"592413",1.81446816203531
"591836",1.81227019005763
"588376",1.80937998327434
"100890978",1.80632643803722
"592836",1.80316863375456
"583790",1.79768714638528
"593274",1.7976593620507
"100891375",1.77649346715259
"577336",1.76421017135497
"588618",1.75770833661238
"755068",1.75699828275791
"577260",1.75084085767087
"105443192",1.74848579712646
"579135",1.73438959572758
"100893176",1.73244182648329
"575433",1.72607681120978
"100890176",1.72295454575078
"577149",1.72267075936203
"105443782",1.72266331644285
"581229",1.71941231474115
"587717",1.71592233289431
"579795",1.71508731563271
"755589",1.70284966298464
"373402",1.69183929291801
"105441177",1.69013145137029
"752034",1.68542567516139
"591130",1.67822784530562
"580629",1.67414603875446
"762946",1.65657254607126
"590766",1.65498522734328
"589422",1.64937783141893
"584675",1.64493812389357
"100893399",1.64417013570651
